Experiment parameters,,,,,
parameter,value,,,,
title,Super Resolution Color Imaging,,,,
experiment type,Paired Comparison,,,,
delay between stimuli switching,200ms,,,,
Background colour,#808080,,,,
Stimuli spacing,15px,,,,
Same pair twice (flipped),no,,,,
Show original,no,,,,
,,,,,
Image sets,,,,,
set name,file name,,,,
0896,0896.png (reference/original),,,,
0896,0896_BSRGAN.png,,,,
0896,0896_RealESRGAN.png,,,,
0896,0896_ResShift.png,,,,
0896,0896_SwinIR.png,,,,
0887,0887_BSRGAN.png,,,,
0887,0887_RealESRGAN.png,,,,
0887,0887_ResShift.png,,,,
0887,0887_SwinIR.png,,,,
0887,0887.png (reference/original),,,,
0874,0874_BSRGAN.png,,,,
0874,0874_RealESRGAN.png,,,,
0874,0874_ResShift.png,,,,
0874,0874_SwinIR.png,,,,
0874,0874.png (reference/original),,,,
0862,0862_BSRGAN.png,,,,
0862,0862_RealESRGAN.png,,,,
0862,0862_ResShift.png,,,,
0862,0862_SwinIR.png,,,,
0862,0862.png (reference/original),,,,
0841,0841_BSRGAN.png,,,,
0841,0841_RealESRGAN.png,,,,
0841,0841_ResShift.png,,,,
0841,0841_SwinIR.png,,,,
0841,0841.png (reference/original),,,,
0837,0837_BSRGAN.png,,,,
0837,0837_RealESRGAN.png,,,,
0837,0837_ResShift.png,,,,
0837,0837_SwinIR.png,,,,
0837,0837.png (reference/original),,,,
0825,0825_BSRGAN.png,,,,
0825,0825_RealESRGAN.png,,,,
0825,0825_ResShift.png,,,,
0825,0825_SwinIR.png,,,,
0825,0825.png (reference/original),,,,
0819,0819_BSRGAN.png,,,,
0819,0819_RealESRGAN.png,,,,
0819,0819_ResShift.png,,,,
0819,0819_SwinIR.png,,,,
0819,0819.png (reference/original),,,,
0814,0814_BSRGAN.png,,,,
0814,0814_RealESRGAN.png,,,,
0814,0814_ResShift.png,,,,
0814,0814_SwinIR.png,,,,
0814,0814.png (reference/original),,,,
0809,0809_BSRGAN.png,,,,
0809,0809_RealESRGAN.png,,,,
0809,0809_ResShift.png,,,,
0809,0809_SwinIR.png,,,,
0809,0809.png (reference/original),,,,
,,,,,
Observers,,,,,
user ID,vision,post evalutation,degree,,
2644,,,,,
2562,,,,,
2562,,,,,
2562,,,,,
